,unique,name,transportation,aid,population,education,graduation,reduced_lunch,homeless,multilingual,tax,budget_cuts ,gender,percent_of _low_income_students,funding,salary
Gloucester,4140,Pitman Boro,"148,522","5,508,314",1128,"925,239",86.3,2,0,11,1,1,1,17,0,0
Gloucester,4880,South Harrison Twp,"140,825","1,257,088",348,"302,902",93.6,64,18,31,1,1,1,14,0,0
Gloucester,4940,Delsea Regional H.S Dist.,"668,879","15,118,221",1586.5,"1,625,743",91.4,69,0,39,0,0,1,19,0,1
Gloucester,5120,Swedesboro-Woolwich,"778,411","11,860,272",1561,"1,761,137",59,109,0,0,1,1,1,18,0,1
Gloucester,5500,Washington Twp,"2,909,313","42,120,028",7236.5,"7,152,534",93.4,13,0,0,1,0,1,4,1,1
Gloucester,5590,Wenonah Boro,0,"196,348",162,"134,037",98.6,4,0,12,0,1,0,3,1,0
Gloucester,5620,West Deptford Twp,"1,034,656","14,909,089",2799,"2,537,445",90.4,46,2,72,1,0,1,25,0,1
Gloucester,5740,Westville Boro,"44,717","4,224,331",362,"367,788",54.2,15,1,29,0,0,1,62,0,0
Gloucester,5860,Woodbury City,"235,458","24,017,685",1708,"1,838,938",90.8,15,0,0,0,1,1,61,0,1
Gloucester,5870,Woodbury Heights Boro,"19,053","1,468,892",256,"289,986",93.6,4,0,0,1,1,0,9,0,0
Hudson,220,Bayonne City,"569,721","109,015,269",10422.5,"11,623,441",87.3,110,5,6,1,1,1,57,0,1
Hudson,1200,East Newark Boro,"16,052","5,402,028",236,"429,660",68.7,16,0,35,0,0,1,82,0,0
Hudson,1850,Guttenberg Town,"70,964","15,185,872",972,"1,537,732",87.2,24,0,0,0,0,1,74,0,0
Hudson,2060,Harrison Town,"157,728","28,847,906",2477,"2,660,879",91.9,14,1,0,1,1,1,11,0,0
